"FileName","LOC","FanIn","FanOut","DistinctIssueCount","TargetChangeCount","TargetChurn","ChangeCount","ChangeChurn","numClique","numCrossing","isCenter","numModularityViolation","numPackageCycle","numUnhealthyInheritance","numUnstableInterface","isUnstableInterface"
"ConsoleOut.java","12","0","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Output.java","5","7","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"OptionReader.java","38","3","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Input.java","6","3","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"AscendingAlphabetizer.java","12","0","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"TxtOut.java","24","1","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"IndexProcessor.java","51","1","4","0","0","0","0","0","1","0","false","0","0","1","0","false"
"KWICObjectLoader.java","20","1","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"DescendingAlphabetizer.java","12","0","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"TxtIn.java","31","1","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"CsvIn.java","28","1","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Main.java","30","0","9","0","0","0","0","0","0","0","false","0","0","0","0","false"
"KWICProcessor.java","50","1","5","0","0","0","0","0","1","0","false","0","0","1","0","false"
"LineStorage.java","18","5","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"CommandValidator.java","15","1","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"CommandProcessor.java","33","4","5","0","0","0","0","0","1","0","false","0","0","1","0","false"
"Alphabetizer.java","5","3","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"SearchProcessor.java","27","1","3","0","0","0","0","0","1","0","false","0","0","1","0","false"
