"language"," filename"," LOC"
"java","server/Main.java"," 87"
"java","server/DescendingAlphabetizer.java"," 12"
"java","server/KWICObjectLoader.java"," 26"
"java","server/AscendingAlphabetizer.java"," 12"
"java","server/Input.java"," 6"
"java","server/CommandProcessor.java"," 29"
"java","client/ConsoleOut.java"," 12"
"java","client/TxtOut.java"," 23"
"java","server/KWICServer.java"," 52"
"java","server/OptionReader.java"," 36"
"java","client/SocketConnection.java"," 84"
"java","server/CsvIn.java"," 28"
"java","server/Alphabetizer.java"," 5"
"java","client/Output.java"," 5"
"java","server/SearchProcessor.java"," 27"
"java","server/IndexProcessor.java"," 54"
"java","server/TxtIn.java"," 31"
"java","server/ClientHandler.java"," 39"
"java","server/KWICProcessor.java"," 50"
"java","server/CommandValidator.java"," 15"
"java","server/LineStorage.java"," 18"
"java","client/KWICClient.java"," 32"
