"language"," filename"," LOC"
"java","calculator_client/CalculatorClient.java"," 48"
"java","state/CalculatorState.java"," 5"
"java","state/GettingAddSubOperandState.java"," 29"
"java","state/WaitingForMulDivOperandState.java"," 22"
"java","calculator_client/SocketConnection.java"," 52"
"java","visitor/EvaluationVisitor.java"," 42"
"java","MasterControl.java"," 30"
"java","calculator_client/SimpleCalculator.java"," 110"
"java","state/GettingMulDivOperandState.java"," 29"
"java","state/CalculateState.java"," 25"
"java","expression/Expression.java"," 5"
"java","calculator_client/CalculatorObserver.java"," 4"
"java","calculator_server/ValidationVisitor.java"," 54"
"java","calculator_server/CalculatorServer.java"," 87"
"java","expression/AddSubExpr.java"," 32"
"java","visitor/ExpressionVisitor.java"," 9"
"java","expression/MultDivExpr.java"," 29"
"java","state/StartState.java"," 14"
"java","state/GettingFirstOperandState.java"," 29"
"java","expression/AtomExpr.java"," 19"
"java","state/WaitingForAddSubOperandState.java"," 22"
