"language"," filename"," LOC"
"java","TxtIn.java"," 28"
"java","AscendingAlphabetizer.java"," 10"
"java","Output.java"," 5"
"java","SearchProcessor.java"," 29"
"java","QuitProcessor.java"," 9"
"java","DescendingAlphabetizer.java"," 10"
"java","LineStorage.java"," 17"
"java","CommandProcessor.java"," 38"
"java","ConsoleOut.java"," 12"
"java","KWICProcessor.java"," 49"
"java","Input.java"," 6"
"java","IndexProcessor.java"," 47"
"java","Main.java"," 28"
"java","CommandValidator.java"," 15"
"java","Alphabetizer.java"," 5"
